what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1574934543394
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1574934543394
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1574934543395
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1574934543395
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1574934543396
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1574934543423
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1574934543423
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1574934543424
os,sysinfo,,,"win32",1574934543426
arch,sysinfo,,,"x86",1574934543426
ws,sysinfo,,,"win32",1574934543426
locale,sysinfo,,,"fr_FR",1574934543426
processors,sysinfo,,,"8",1574934543426
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1574934543426
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1574934543426
java.specification.name,sysinfo,,,"Java Platform API Specification",1574934543426
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1574934543426
java.specification.version,sysinfo,,,"1.6",1574934543426
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1574934543426
java.version,sysinfo,,,"1.6.0_23",1574934543426
java.vm.info,sysinfo,,,"mixed mode",1574934543426
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1574934543426
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1574934543426
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1574934543426
java.vm.specification.version,sysinfo,,,"1.0",1574934543426
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1574934543426
java.vm.version,sysinfo,,,"19.0-b09",1574934543426
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1574934543673
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1574934543698
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1574934543987
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1574934544202
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1574934544436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934544746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934552277
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1574934554224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934559343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934607209
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1574934610313
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1574934610340
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1574934611433
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1574934612883
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1574934623972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934626391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574934651209
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574934654993
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574934669909
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574934673095
