what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1575277643169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1575277643169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1575277643169
java.vm.specification.version,sysinfo,,,"1.0",1575277643169
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1575277643169
java.vm.version,sysinfo,,,"19.0-b09",1575277643169
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575277644804
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1575277645185
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1575277645224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277646602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277649277
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575277650845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1575277652860
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575277653613
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575277655366
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1575277655373
started,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1575277663526
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1575277663636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277664036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1575277683278
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1575277690603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277695601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277710345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277712649
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1575277712653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1575277712653
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575277716201
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575277716223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1575277719640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277723864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277743151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1575277745667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1575277747351
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575277749108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277750786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277764616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277765170
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277768516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277776533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277777695
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277777718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277781534
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1575277784843
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1575277789050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277789113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277789138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277791426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277791817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575277791829
error,log,,,"Unhandled event loop exception",1575278108748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278115606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278128350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278129569
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1575278129598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278133897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278162852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278185503
error,log,,,"Internal Error",1575278189608
error,log,,,"Problems encountered while deleting resources.",1575278189608
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575278189637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278194580
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1575278194590
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1575278194590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278199101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278200167
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1575278200169
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1575278200169
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278210346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278222035
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575278230921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575278230944
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575278235236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278241290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278244924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278245511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278248688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278257541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278261037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1575278265138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278265165
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1575278305278
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1575278311136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1575278315173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278320309
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1575278320348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278323110
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278323232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278324075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278325119
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575278325214
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1575278325323
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1575278325323
stopped,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1575278325323
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1575278325324
