what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1575276171103
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1575276171103
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1575276171103
java.vm.specification.version,sysinfo,,,"1.0",1575276171103
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1575276171103
java.vm.version,sysinfo,,,"19.0-b09",1575276171103
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1575276174747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1575276177687
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575276180781
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1575276181041
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1575276181079
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1575276182309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276182318
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276182982
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1575276183549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276183578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276185487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276187702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276190263
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1575276196376
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1575276202834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1575276212684
